City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,69,40,16.11,scattered clouds
318,Mao,ES,39.8885,4.2658,73.96,49,0,10.36,clear sky
319,Yatou,CN,37.15,122.3833,52.43,83,13,9.17,few clouds
320,Mount Gambier,AU,-37.8333,140.7667,54.05,70,44,13.73,scattered clouds
321,Conde,BR,-7.2597,-34.9075,83.66,74,75,11.5,broken clouds
322,Korla,CN,41.7597,86.1469,74.89,20,95,4.92,overcast clouds
323,Albina,SR,5.5,-54.05,80.53,91,97,4.32,overcast clouds
324,Quatre Cocos,MU,-20.2078,57.7625,73.51,81,31,9.73,scattered clouds
325,Salina,US,38.8403,-97.6114,75.02,62,75,16.11,broken clouds
326,Iqaluit,CA,63.7506,-68.5145,26.33,73,20,16.11,few clouds
327,Kota Kinabalu,MY,5.9749,116.0724,79.88,89,20,5.99,few clouds
328,Igrim,RU,63.1906,64.4162,46.94,90,78,5.64,broken clouds
329,Laguna,US,38.421,-121.4238,84.02,50,0,6.91,clear sky
330,Hofn,IS,64.2539,-15.2082,47.26,88,100,1.74,overcast clouds
331,Veraval,IN,20.9,70.3667,83.79,78,0,13.38,clear sky
332,Itarema,BR,-2.9248,-39.9167,83.79,75,93,14.23,overcast clouds
333,Kijang,KR,35.2442,129.2139,56.93,63,100,4.29,overcast clouds
334,Batagay-Alyta,RU,67.8006,130.4114,0.77,96,56,6.38,broken clouds
335,Tulln,AT,48.3283,16.0586,77.04,45,20,6.91,few clouds
336,Belaya Gora,RU,68.5333,146.4167,20.46,93,99,9.46,overcast clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,73,99,17.94,overcast clouds
338,San Jeronimo,PE,-11.9472,-75.2829,62.53,45,31,2.33,scattered clouds
339,College,US,64.8569,-147.8028,46.2,56,75,14.97,broken clouds
340,Hurricane,US,37.1753,-113.2899,91.74,10,25,3.62,scattered clouds
341,Salalah,OM,17.0151,54.0924,86.09,58,2,5.75,clear sky
342,Kuressaare,EE,58.2481,22.5039,52.95,53,0,15.99,clear sky
343,Bam,IR,29.106,58.357,75.85,14,0,7.54,clear sky
344,Antofagasta,CL,-23.65,-70.4,63.68,62,24,6.67,few clouds
345,Dolores,AR,-36.3132,-57.6792,57.11,44,2,15.61,clear sky
